model,comparison,image_key,excluded_stage,reason
surya,run_1_to_run_2,val/10/469/20,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/21,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/22,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/23,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/24,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/3,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/4,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/5,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/6,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/7,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/8,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/469/9,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/1,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/10,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/11,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/12,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/13,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/14,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/15,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/16,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/17,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/18,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/19,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/2,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/20,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/21,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/22,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/23,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/24,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/3,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/4,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/5,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/6,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/7,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/8,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/480/9,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/53/1,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/53/10,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/53/11,run_1,missing run_1 record
