model,comparison,baseline_stage,candidate_stage,page_key,paired_words,baseline_cer,candidate_cer,cer_delta,baseline_wer,candidate_wer,wer_delta,baseline_exact_match,candidate_exact_match,exact_match_delta,baseline_missing_output,candidate_missing_output,missing_output_delta,baseline_runtime,candidate_runtime,runtime_delta
tesseract,raw_to_run_1,raw,run_1,test_12_191,26,0.7714285714285715,0.7591836734693878,-0.01224489795918371,1.0,1.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.46153846153846156,-0.11538461538461539,23.831243930966593,15.637957921047928,-8.193286009918666
tesseract,raw_to_run_1,raw,run_1,test_12_195,24,0.729957805907173,0.7088607594936709,-0.021097046413502074,1.0,1.375,0.375,0.0,0.0,0.0,0.5833333333333334,0.3333333333333333,-0.25,23.003930999024305,16.780537226019078,-6.223393773005228
tesseract,raw_to_run_1,raw,run_1,test_12_48,24,0.7137096774193549,0.6854838709677419,-0.02822580645161299,1.0,1.375,0.375,0.0,0.0,0.0,0.5,0.25,-0.25,23.551195851003285,13.570793385006255,-9.980402465997031
tesseract,raw_to_run_1,raw,run_1,test_12_70,25,0.8114035087719298,0.75,-0.06140350877192979,0.96,1.0,0.040000000000000036,0.0,0.0,0.0,0.8,0.44,-0.36,23.230461152998032,20.572738496077363,-2.6577226569206687
tesseract,raw_to_run_1,raw,run_1,test_13_12,23,0.9625,1.0,0.03749999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.9565217391304348,1.0,0.043478260869565216,22.344713565980783,14.193265925947344,-8.151447640033439
tesseract,raw_to_run_1,raw,run_1,test_13_13,24,0.9252336448598131,0.9626168224299065,0.03738317757009346,1.0,1.0,0.0,0.0,0.0,0.0,0.875,0.8333333333333334,-0.041666666666666664,22.203173461035476,14.671836566965794,-7.531336894069682
tesseract,raw_to_run_1,raw,run_1,test_13_2,26,0.9917355371900827,0.8677685950413223,-0.12396694214876036,1.0,1.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.7307692307692307,-0.23076923076923078,23.488915586014627,16.780968220962677,-6.70794736505195
tesseract,raw_to_run_1,raw,run_1,test_13_23,23,0.8938053097345132,0.8849557522123894,-0.008849557522123797,1.0,1.0,0.0,0.0,0.0,0.0,0.8695652173913043,0.782608695652174,-0.08695652173913043,21.023147911997512,14.212005682042218,-6.811142229955294
tesseract,raw_to_run_1,raw,run_1,test_13_24,23,0.9870689655172413,0.9008620689655172,-0.08620689655172409,1.0,1.0,0.0,0.0,0.0,0.0,0.9130434782608695,0.7391304347826086,-0.17391304347826086,20.548648113006493,13.843663128020125,-6.704984984986368
tesseract,raw_to_run_1,raw,run_1,test_13_32,26,0.98828125,0.87890625,-0.109375,1.0,1.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.6923076923076923,-0.2692307692307692,22.79610309097916,16.781052834994625,-6.015050255984534
tesseract,raw_to_run_1,raw,run_1,test_13_7,22,1.0,0.9282700421940928,-0.07172995780590719,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7727272727272727,-0.22727272727272727,22.05100609299552,14.550929045013618,-7.500077047981904
tesseract,raw_to_run_1,raw,run_1,test_13_9,23,0.972972972972973,0.918918918918919,-0.05405405405405406,1.0,1.0,0.0,0.0,0.0,0.0,0.9130434782608695,0.8695652173913043,-0.043478260869565216,22.52649576899421,14.390023305997602,-8.136472462996608
tesseract,raw_to_run_1,raw,run_1,test_9_13,24,0.8793103448275862,0.7629310344827587,-0.11637931034482751,1.0,1.5,0.5,0.0,0.0,0.0,0.7916666666666666,0.20833333333333334,-0.5833333333333334,22.906762964979862,13.900611154022045,-9.006151810957817
tesseract,raw_to_run_1,raw,run_1,test_9_166,25,0.8177777777777778,0.6933333333333334,-0.12444444444444447,0.96,1.28,0.32000000000000006,0.0,0.0,0.0,0.76,0.24,-0.52,23.07429664002848,14.717264712002361,-8.357031928026117
tesseract,raw_to_run_1,raw,run_1,test_9_249,24,0.7511737089201878,0.7136150234741784,-0.03755868544600938,1.0,1.125,0.125,0.0,0.0,0.0,0.625,0.375,-0.25,21.810601469958783,13.854790057011996,-7.955811412946787
tesseract,raw_to_run_1,raw,run_1,test_9_252,25,0.7965367965367965,0.7316017316017316,-0.06493506493506496,1.0,1.48,0.48,0.0,0.0,0.0,0.68,0.2,-0.48,23.002653725037817,14.286383001017384,-8.716270724020433
tesseract,raw_to_run_1,raw,run_1,test_9_393,24,0.7105263157894737,0.7017543859649122,-0.00877192982456143,1.0,1.4166666666666667,0.41666666666666674,0.0,0.0,0.0,0.5,0.20833333333333334,-0.2916666666666667,23.127578826984973,13.517044668929884,-9.610534158055088
tesseract,raw_to_run_1,raw,run_1,test_9_53,24,0.696969696969697,0.6796536796536796,-0.017316017316017396,0.9583333333333334,1.4166666666666667,0.45833333333333337,0.0,0.0,0.0,0.4583333333333333,0.16666666666666666,-0.2916666666666667,22.15546000500035,13.576001533991075,-8.579458471009275
tesseract,raw_to_run_1,raw,run_1,test_9_65,26,0.803347280334728,0.7280334728033473,-0.07531380753138073,1.0,1.2307692307692308,0.23076923076923084,0.0,0.0,0.0,0.7307692307692307,0.2692307692307692,-0.46153846153846156,27.513054288981948,14.70718776404101,-12.805866524940939
tesseract,raw_to_run_1,raw,run_1,test_9_91,25,0.6017316017316018,0.670995670995671,0.06926406926406925,0.96,1.4,0.43999999999999995,0.0,0.0,0.0,0.4,0.12,-0.28,25.875831177996588,13.686885286937468,-12.18894589105912
tesseract,raw_to_run_1,raw,run_1,val_10_108,22,0.8958333333333334,0.8458333333333333,-0.050000000000000044,1.0,1.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.5454545454545454,-0.18181818181818182,21.03327413095394,19.073266671039164,-1.9600074599147774
tesseract,raw_to_run_1,raw,run_1,val_10_179,26,0.8644859813084113,0.8785046728971962,0.014018691588784993,1.0,1.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.6538461538461539,-0.11538461538461539,22.14081867596542,16.49873210999067,-5.642086565974751
tesseract,raw_to_run_1,raw,run_1,val_10_350,24,0.8035714285714286,0.8169642857142857,0.013392857142857095,0.9583333333333334,0.9583333333333334,0.0,0.0,0.0,0.0,0.7083333333333334,0.5833333333333334,-0.125,21.62841820002359,15.358594613004243,-6.269823587019346
