configuration,reference_character,hypothesis_character,count
surya/processed,ప,ి,2
surya/processed,ర,ు,2
surya/processed,మ,ె,2
surya/processed,ప,ర,2
surya/processed,ణ, ,2
surya/processed,ట, ,2
surya/processed,ర,ూ,2
surya/processed,త,ి,2
surya/processed,క,ప,2
surya/processed,ు,ే,2
surya/processed,ు,ై,2
surya/processed,ట,వ,2
surya/processed,ర,ీ,2
surya/processed,్,ర,2
surya/processed,న,ి,2
surya/processed,డ,ి,2
surya/processed,ే,ర,2
surya/processed,క,ం,2
surya/processed,ే, ,2
surya/processed,ణ,వ,2
surya/processed,ణ,ా,2
surya/processed,ా,న,2
surya/processed,్,ౌ,2
surya/processed,చ,ౌ,2
surya/processed,ధ,శ,2
surya/processed,ర, ,2
surya/processed,ి,వ,2
surya/processed,త,ా,2
surya/processed,ద,ప,2
surya/processed,ప,త,2
surya/processed,ా,త,2
surya/processed,ప,క,2
surya/processed,డ,గ,2
surya/processed,ణ,ు,2
surya/processed,అ,ి,2
surya/processed,ట,్,2
surya/processed,శ,ర,2
surya/processed,ి,ట,2
surya/processed,ై, ,2
surya/processed,వ,ద,2
surya/processed,ప,ం,2
surya/processed,ద, ,2
surya/processed,ల,ణ,2
surya/processed,చ,మ,2
surya/processed,ట,ధ,2
surya/processed,ర,గ,2
surya/processed,ఫ,మ,2
surya/processed,ల,మ,2
surya/processed,ర,ో,2
surya/processed,చ,ి,2
surya/processed,ం,౦,2
surya/processed,ం,‌,2
surya/processed,ీ,ో,2
surya/processed,్,త,2
surya/processed,భ,్,2
surya/processed,అ,ర,2
surya/processed,్,ట,2
surya/processed,జ,ి,2
surya/processed,య,న,2
surya/processed,డ,త,2
surya/processed,న,ప,2
surya/processed,వ,బ,2
surya/processed,మ,ే,2
surya/processed,భ,ట,2
surya/processed,గ,ల,2
surya/processed,ధ,ద,2
surya/processed,చ,వ,2
surya/processed,య,ప,2
surya/processed,య,క,2
surya/processed,హ,మ,2
surya/processed,ా,ర,2
surya/processed,డ,ణ,2
surya/processed,న,ు,2
surya/processed,బ,ప,2
surya/processed,ద,ు,2
surya/processed,త,గ,2
surya/processed,ై,్,2
surya/processed,య,త,2
surya/processed,ల,ప,2
surya/processed,స,ా,2
surya/processed,ి,‌,2
surya/processed,ి,క,2
surya/processed,క, ,2
surya/processed,డ,్,2
surya/processed,జ,ప,2
surya/processed,ట,మ,2
surya/processed,ఘ,మ,2
surya/processed,ో,ౌ,2
surya/processed,్,బ,2
surya/processed,ల,‍,2
surya/processed,ో,ం,2
surya/processed,ే,ప,2
surya/processed,వ,హ,2
surya/processed,్,ప,2
surya/processed,ర,ష,2
surya/processed,ో,‍,2
surya/processed,క,న,2
surya/processed,త,వ,2
surya/processed,ద,శ,2
surya/processed,చ,‍,2
surya/processed,క,వ,2
surya/processed,ల,క,2
surya/processed,ూ,ు,2
surya/processed,న,ం,2
surya/processed,మ,ర,2
surya/processed,ో,ి,2
surya/processed,గ,ధ,2
surya/processed,ట,ు,2
surya/processed,చ,భ,2
surya/processed,జ,మ,2
surya/processed,ా,క,2
surya/processed,ప,ు,2
surya/processed,ం,ల,2
surya/processed,ర,డ,2
tesseract/raw,చ,ో,2
tesseract/raw,స,ప,2
tesseract/raw,ర,ో,2
tesseract/raw,త,ట,2
tesseract/raw,ప,ె,2
tesseract/raw,స,న,2
tesseract/raw,ె,ై,2
tesseract/raw,ల,న,2
tesseract/raw,ా,ట,2
tesseract/raw,ై,ె,2
tesseract/raw,న,ో,2
tesseract/raw,ల,్,2
tesseract/raw,్,త,2
tesseract/raw,ి,ట,2
tesseract/raw,క,త,2
tesseract/raw,ో,ా,2
tesseract/raw,జ,ర,2
tesseract/raw,వ,ద,2
tesseract/raw,ు, ,2
tesseract/raw,ు,ే,2
tesseract/raw,ప,ట,2
tesseract/raw,ఆ,ె,2
tesseract/raw,చ,ా,2
tesseract/raw,చ,ట,2
tesseract/raw,చ,య,2
tesseract/raw,ల,ం,2
tesseract/raw,్,డ,2
tesseract/raw,ే,ై,2
tesseract/raw,ల,ట,2
tesseract/raw,ప,త,2
tesseract/raw,ు,ా,2
tesseract/raw,వ,ో,2
tesseract/raw,ు,త,2
tesseract/raw,త,ల,2
tesseract/raw,ి,ో,2
tesseract/raw,ర,శ,2
tesseract/raw,ీ,మ,2
tesseract/raw,ర,ద,2
tesseract/raw,శ,ళ,2
tesseract/raw,ర,య,2
tesseract/raw,ా,త,2
tesseract/raw,డ,ద,2
tesseract/raw,స,గ,2
tesseract/raw,ో, ,2
tesseract/raw,న,ల,2
tesseract/raw,ై,గ,2
tesseract/raw,భ,ఖ,2
tesseract/raw,వ,మ,2
tesseract/raw,క,ొ,2
tesseract/raw,ం,ర,2
tesseract/raw,డ,త,2
tesseract/raw,బ,ఖ,2
tesseract/raw,ా,ం,2
tesseract/raw,ప,స,2
tesseract/raw,బ,ట,2
tesseract/raw,క,మ,2
tesseract/raw,ి,ు,2
tesseract/raw,ర,గ,2
tesseract/raw,ు,ీ,2
tesseract/raw,ె,ు,2
tesseract/raw,్,ి,2
tesseract/raw,డ,థ,2
tesseract/raw,వ,ప,2
tesseract/raw,ు,ఖ,2
tesseract/raw,ర,థ,2
tesseract/raw,ం,ి,2
tesseract/raw,్,య,2
tesseract/raw,ు,ి,2
tesseract/raw,ీ,‌,2
tesseract/raw,డ,ీ,2
tesseract/raw,త,య,2
tesseract/raw,ం,ట,2
tesseract/raw,వ,ర,2
tesseract/raw,్,వ,2
tesseract/raw,ు,ల,2
tesseract/raw,ి,ల,2
tesseract/raw,చ,ు,2
tesseract/raw,్,న,2
tesseract/raw,ం,ల,2
